Running BLAST for 0.015625 
DATE:2016-03-20 10:18:21.005392	CPU:19.3	MEMORY:6990 MB
DATE:2016-03-20 10:57:01.228273	CPU:16.7	MEMORY:7598 MB
DATE:2016-03-20 10:58:02.248471	CPU:18.5	MEMORY:7661 MB
DATE:2016-03-20 10:59:03.312617	CPU:16.5	MEMORY:7638 MB
DATE:2016-03-20 11:00:04.376621	CPU:15.9	MEMORY:7674 MB
DATE:2016-03-20 11:01:05.440698	CPU:22.0	MEMORY:7672 MB
DATE:2016-03-20 11:02:06.504526	CPU:16.1	MEMORY:7660 MB
DATE:2016-03-20 11:03:07.568264	CPU:17.7	MEMORY:7668 MB
DATE:2016-03-20 11:04:08.632215	CPU:15.9	MEMORY:7670 MB
DATE:2016-03-20 11:05:09.692692	CPU:18.6	MEMORY:7684 MB
DATE:2016-03-20 11:06:10.756293	CPU:15.0	MEMORY:7720 MB
DATE:2016-03-20 11:07:11.819900	CPU:16.6	MEMORY:7711 MB
DATE:2016-03-20 11:08:12.884025	CPU:16.4	MEMORY:7738 MB
DATE:2016-03-20 11:09:13.948189	CPU:17.3	MEMORY:7751 MB
DATE:2016-03-20 11:10:15.008872	CPU:15.8	MEMORY:7781 MB
DATE:2016-03-20 11:11:16.069281	CPU:15.8	MEMORY:7782 MB
DATE:2016-03-20 11:12:17.132569	CPU:3.4	MEMORY:7659 MB
DATE:2016-03-20 11:13:18.196802	CPU:14.8	MEMORY:7829 MB
DATE:2016-03-20 11:14:19.260543	CPU:20.2	MEMORY:7838 MB
DATE:2016-03-20 11:15:20.276673	CPU:15.3	MEMORY:7844 MB
DATE:2016-03-20 11:16:21.340044	CPU:21.3	MEMORY:7716 MB
DATE:2016-03-20 11:17:22.403644	CPU:16.5	MEMORY:7837 MB
DATE:2016-03-20 11:18:23.467591	CPU:18.5	MEMORY:7848 MB
DATE:2016-03-20 11:19:24.531157	CPU:18.2	MEMORY:7898 MB
DATE:2016-03-20 11:20:25.594246	CPU:16.7	MEMORY:7912 MB
DATE:2016-03-20 11:21:26.658297	CPU:15.1	MEMORY:7919 MB
DATE:2016-03-20 11:22:27.722179	CPU:13.5	MEMORY:7925 MB
DATE:2016-03-20 11:23:28.785192	CPU:14.4	MEMORY:7941 MB
DATE:2016-03-20 11:24:29.848460	CPU:1.3	MEMORY:7825 MB
DATE:2016-03-20 11:25:30.911838	CPU:16.5	MEMORY:7957 MB
DATE:2016-03-20 11:26:31.976263	CPU:15.3	MEMORY:7953 MB
DATE:2016-03-20 11:27:33.040036	CPU:16.5	MEMORY:7955 MB
DATE:2016-03-20 11:28:34.103591	CPU:15.9	MEMORY:7971 MB
DATE:2016-03-20 11:29:35.167589	CPU:16.9	MEMORY:7958 MB
DATE:2016-03-20 11:30:36.230685	CPU:17.3	MEMORY:7941 MB
DATE:2016-03-20 11:31:37.294225	CPU:18.1	MEMORY:7952 MB
DATE:2016-03-20 11:32:38.357352	CPU:1.2	MEMORY:7864 MB
DATE:2016-03-20 11:33:39.421258	CPU:15.3	MEMORY:7952 MB
DATE:2016-03-20 11:34:40.485458	CPU:18.1	MEMORY:7970 MB
DATE:2016-03-20 11:35:41.549000	CPU:18.0	MEMORY:7973 MB
DATE:2016-03-20 11:36:42.608755	CPU:16.2	MEMORY:7993 MB
DATE:2016-03-20 11:37:43.672333	CPU:17.0	MEMORY:8008 MB
DATE:2016-03-20 11:38:44.733117	CPU:16.9	MEMORY:8019 MB
DATE:2016-03-20 11:39:45.797140	CPU:17.5	MEMORY:8029 MB
DATE:2016-03-20 11:40:46.860954	CPU:15.9	MEMORY:8014 MB
DATE:2016-03-20 11:41:47.924405	CPU:16.7	MEMORY:7913 MB
DATE:2016-03-20 11:42:48.987914	CPU:17.5	MEMORY:8037 MB
DATE:2016-03-20 11:43:50.051556	CPU:1.3	MEMORY:7959 MB
DATE:2016-03-20 11:44:51.115280	CPU:18.0	MEMORY:8042 MB
DATE:2016-03-20 11:45:52.178333	CPU:15.7	MEMORY:8097 MB
DATE:2016-03-20 11:46:53.240713	CPU:16.7	MEMORY:8075 MB
DATE:2016-03-20 11:47:54.304152	CPU:20.3	MEMORY:8088 MB
DATE:2016-03-20 11:48:55.368406	CPU:16.3	MEMORY:8090 MB
DATE:2016-03-20 11:49:56.432138	CPU:16.9	MEMORY:8089 MB
DATE:2016-03-20 11:50:57.492782	CPU:17.0	MEMORY:8099 MB
DATE:2016-03-20 11:51:58.553282	CPU:17.2	MEMORY:8118 MB
DATE:2016-03-20 11:52:59.616932	CPU:17.8	MEMORY:8142 MB
DATE:2016-03-20 11:54:00.676810	CPU:17.1	MEMORY:8165 MB
DATE:2016-03-20 11:55:01.740499	CPU:29.9	MEMORY:8170 MB
DATE:2016-03-20 11:56:02.804317	CPU:17.6	MEMORY:8098 MB
DATE:2016-03-20 11:57:03.867406	CPU:23.5	MEMORY:8121 MB
DATE:2016-03-20 11:58:04.930517	CPU:17.4	MEMORY:8196 MB
DATE:2016-03-20 11:59:05.993611	CPU:22.2	MEMORY:8174 MB
DATE:2016-03-20 12:00:07.057411	CPU:16.4	MEMORY:8124 MB
DATE:2016-03-20 12:01:08.120527	CPU:1.3	MEMORY:8026 MB
DATE:2016-03-20 12:02:09.180407	CPU:18.6	MEMORY:8184 MB
DATE:2016-03-20 12:03:10.228481	CPU:20.8	MEMORY:8219 MB
DATE:2016-03-20 12:04:11.289389	CPU:16.3	MEMORY:8098 MB
DATE:2016-03-20 12:05:12.353181	CPU:1.4	MEMORY:8036 MB
DATE:2016-03-20 12:06:13.416169	CPU:17.2	MEMORY:8179 MB
DATE:2016-03-20 12:07:14.479238	CPU:1.3	MEMORY:8065 MB
DATE:2016-03-20 12:08:15.542301	CPU:16.6	MEMORY:8177 MB
DATE:2016-03-20 12:09:16.605814	CPU:16.0	MEMORY:8173 MB
DATE:2016-03-20 12:10:17.669790	CPU:16.6	MEMORY:8184 MB
DATE:2016-03-20 12:11:18.733577	CPU:15.7	MEMORY:8179 MB
DATE:2016-03-20 12:12:19.797059	CPU:17.3	MEMORY:8080 MB
DATE:2016-03-20 12:13:20.860540	CPU:17.9	MEMORY:8193 MB
DATE:2016-03-20 12:14:21.923733	CPU:16.5	MEMORY:8210 MB
DATE:2016-03-20 12:15:22.987448	CPU:17.2	MEMORY:8213 MB
DATE:2016-03-20 12:16:24.051265	CPU:17.2	MEMORY:8253 MB
DATE:2016-03-20 12:17:25.115536	CPU:31.3	MEMORY:8259 MB
DATE:2016-03-20 12:18:26.179714	CPU:15.8	MEMORY:8252 MB
DATE:2016-03-20 12:19:27.243353	CPU:16.7	MEMORY:8263 MB
DATE:2016-03-20 12:20:28.306947	CPU:17.0	MEMORY:8279 MB
DATE:2016-03-20 12:21:29.370518	CPU:0.0	MEMORY:6448 MB
