Running BLAST for 0.015625 

['DATE:2016-03-20 10:18:11.121016', 'CPU:46.9', 'MEMORY:21429 MB']
['DATE:2016-03-20 11:06:01.040830', 'CPU:46.7', 'MEMORY:22849 MB']
['DATE:2016-03-20 11:07:02.101273', 'CPU:29.9', 'MEMORY:22827 MB']
['DATE:2016-03-20 11:08:03.164691', 'CPU:48.6', 'MEMORY:22883 MB']
['DATE:2016-03-20 11:09:04.224635', 'CPU:52.9', 'MEMORY:22875 MB']
['DATE:2016-03-20 11:10:05.288096', 'CPU:62.9', 'MEMORY:22913 MB']
['DATE:2016-03-20 11:11:06.348758', 'CPU:55.9', 'MEMORY:22932 MB']
['DATE:2016-03-20 11:12:07.408753', 'CPU:53.8', 'MEMORY:22979 MB']
['DATE:2016-03-20 11:13:08.472123', 'CPU:30.6', 'MEMORY:22982 MB']
['DATE:2016-03-20 11:14:09.532855', 'CPU:54.5', 'MEMORY:22952 MB']
['DATE:2016-03-20 11:15:10.592861', 'CPU:63.1', 'MEMORY:23039 MB']
['DATE:2016-03-20 11:16:11.652779', 'CPU:59.0', 'MEMORY:23014 MB']
['DATE:2016-03-20 11:17:12.712667', 'CPU:58.7', 'MEMORY:23031 MB']
['DATE:2016-03-20 11:18:13.725591', 'CPU:66.8', 'MEMORY:23121 MB']
['DATE:2016-03-20 11:19:14.788641', 'CPU:56.8', 'MEMORY:23073 MB']
['DATE:2016-03-20 11:20:15.848669', 'CPU:54.8', 'MEMORY:23069 MB']
['DATE:2016-03-20 11:21:16.908714', 'CPU:59.0', 'MEMORY:23090 MB']
['DATE:2016-03-20 11:22:17.969318', 'CPU:66.3', 'MEMORY:23093 MB']
['DATE:2016-03-20 11:23:19.028804', 'CPU:28.0', 'MEMORY:23052 MB']
['DATE:2016-03-20 11:24:20.088763', 'CPU:59.8', 'MEMORY:23156 MB']
['DATE:2016-03-20 11:25:21.152233', 'CPU:58.8', 'MEMORY:23123 MB']
['DATE:2016-03-20 11:26:22.212866', 'CPU:66.0', 'MEMORY:23173 MB']
['DATE:2016-03-20 11:27:23.276306', 'CPU:57.6', 'MEMORY:23214 MB']
['DATE:2016-03-20 11:28:24.336800', 'CPU:58.2', 'MEMORY:23232 MB']
['DATE:2016-03-20 11:29:25.400169', 'CPU:30.5', 'MEMORY:23265 MB']
['DATE:2016-03-20 11:30:26.460854', 'CPU:62.9', 'MEMORY:23252 MB']
['DATE:2016-03-20 11:31:27.524416', 'CPU:58.3', 'MEMORY:23266 MB']
['DATE:2016-03-20 11:32:28.584818', 'CPU:61.7', 'MEMORY:23265 MB']
['DATE:2016-03-20 11:33:29.644956', 'CPU:69.6', 'MEMORY:23278 MB']
['DATE:2016-03-20 11:34:30.704917', 'CPU:62.6', 'MEMORY:23293 MB']
['DATE:2016-03-20 11:35:31.768334', 'CPU:60.7', 'MEMORY:23332 MB']
['DATE:2016-03-20 11:36:32.828835', 'CPU:56.6', 'MEMORY:23287 MB']
['DATE:2016-03-20 11:37:33.888797', 'CPU:60.4', 'MEMORY:23293 MB']
['DATE:2016-03-20 11:38:34.948905', 'CPU:55.5', 'MEMORY:23312 MB']
['DATE:2016-03-20 11:39:36.009009', 'CPU:61.0', 'MEMORY:23301 MB']
['DATE:2016-03-20 11:40:37.052858', 'CPU:34.7', 'MEMORY:23242 MB']
['DATE:2016-03-20 11:41:38.116322', 'CPU:28.5', 'MEMORY:23270 MB']
['DATE:2016-03-20 11:42:39.176776', 'CPU:65.6', 'MEMORY:23351 MB']
['DATE:2016-03-20 11:43:40.236797', 'CPU:74.7', 'MEMORY:23376 MB']
['DATE:2016-03-20 11:44:41.296886', 'CPU:80.4', 'MEMORY:23384 MB']
['DATE:2016-03-20 11:45:42.356869', 'CPU:66.2', 'MEMORY:23385 MB']
['DATE:2016-03-20 11:46:43.416741', 'CPU:62.9', 'MEMORY:23346 MB']
['DATE:2016-03-20 11:47:44.480021', 'CPU:27.5', 'MEMORY:21954 MB']
['DATE:2016-03-20 11:48:45.544289', 'CPU:28.0', 'MEMORY:21971 MB']
['DATE:2016-03-20 11:49:46.605009', 'CPU:26.5', 'MEMORY:22002 MB']
['DATE:2016-03-20 11:50:47.668545', 'CPU:29.4', 'MEMORY:21993 MB']
['DATE:2016-03-20 11:51:48.732143', 'CPU:29.3', 'MEMORY:21993 MB']
['DATE:2016-03-20 11:52:49.795804', 'CPU:26.9', 'MEMORY:22076 MB']
['DATE:2016-03-20 11:53:50.859651', 'CPU:28.0', 'MEMORY:22021 MB']
['DATE:2016-03-20 11:54:51.922790', 'CPU:26.7', 'MEMORY:22027 MB']

['DATE:2016-03-20 11:55:52.986890', 'CPU:11.8', 'MEMORY:20545 MB']
