Running BLAST for 0.015625 

['DATE:2016-03-20 02:37:00.684420', 'CPU:20.2', 'MEMORY:71348 MB']
['DATE:2016-03-20 03:34:00.182877', 'CPU:14.4', 'MEMORY:72129 MB']
['DATE:2016-03-20 03:35:01.246045', 'CPU:14.8', 'MEMORY:72139 MB']
['DATE:2016-03-20 03:36:02.310042', 'CPU:15.7', 'MEMORY:72116 MB']
['DATE:2016-03-20 03:37:03.374085', 'CPU:16.2', 'MEMORY:72125 MB']
['DATE:2016-03-20 03:38:04.437905', 'CPU:15.5', 'MEMORY:72117 MB']
['DATE:2016-03-20 03:39:05.501136', 'CPU:15.5', 'MEMORY:72126 MB']
['DATE:2016-03-20 03:40:06.564724', 'CPU:15.1', 'MEMORY:72152 MB']
['DATE:2016-03-20 03:41:07.628575', 'CPU:15.4', 'MEMORY:72159 MB']
['DATE:2016-03-20 03:42:08.684047', 'CPU:15.6', 'MEMORY:72158 MB']
['DATE:2016-03-20 03:43:09.704879', 'CPU:16.1', 'MEMORY:72164 MB']
['DATE:2016-03-20 03:44:10.768515', 'CPU:15.0', 'MEMORY:72178 MB']
['DATE:2016-03-20 03:45:11.798551', 'CPU:2.8', 'MEMORY:72145 MB']
['DATE:2016-03-20 03:46:12.844874', 'CPU:15.8', 'MEMORY:72158 MB']
['DATE:2016-03-20 03:47:13.893787', 'CPU:14.6', 'MEMORY:72152 MB']
['DATE:2016-03-20 03:48:14.957898', 'CPU:14.9', 'MEMORY:72155 MB']
['DATE:2016-03-20 03:49:16.021798', 'CPU:15.5', 'MEMORY:72180 MB']
['DATE:2016-03-20 03:50:17.085886', 'CPU:16.4', 'MEMORY:72181 MB']
['DATE:2016-03-20 03:51:18.148327', 'CPU:16.4', 'MEMORY:72158 MB']
['DATE:2016-03-20 03:52:19.212237', 'CPU:17.0', 'MEMORY:72165 MB']
['DATE:2016-03-20 03:53:20.275702', 'CPU:14.9', 'MEMORY:72186 MB']
['DATE:2016-03-20 03:54:21.339530', 'CPU:15.1', 'MEMORY:72193 MB']
['DATE:2016-03-20 03:55:22.403020', 'CPU:16.7', 'MEMORY:72204 MB']
['DATE:2016-03-20 03:56:23.466571', 'CPU:18.4', 'MEMORY:72199 MB']
['DATE:2016-03-20 03:57:24.529842', 'CPU:15.8', 'MEMORY:72228 MB']
['DATE:2016-03-20 03:58:25.593944', 'CPU:17.0', 'MEMORY:72251 MB']
['DATE:2016-03-20 03:59:26.657582', 'CPU:15.8', 'MEMORY:72250 MB']
['DATE:2016-03-20 04:00:27.720921', 'CPU:16.8', 'MEMORY:72258 MB']
['DATE:2016-03-20 04:01:28.784835', 'CPU:15.8', 'MEMORY:72266 MB']
['DATE:2016-03-20 04:02:29.848450', 'CPU:16.9', 'MEMORY:72283 MB']
['DATE:2016-03-20 04:03:30.911881', 'CPU:16.1', 'MEMORY:72288 MB']
['DATE:2016-03-20 04:04:31.975436', 'CPU:16.8', 'MEMORY:72322 MB']
['DATE:2016-03-20 04:05:33.038984', 'CPU:16.5', 'MEMORY:72328 MB']
['DATE:2016-03-20 04:06:34.066351', 'CPU:15.5', 'MEMORY:72303 MB']
['DATE:2016-03-20 04:07:35.129668', 'CPU:16.5', 'MEMORY:72312 MB']
['DATE:2016-03-20 04:08:36.162677', 'CPU:5.7', 'MEMORY:72310 MB']
['DATE:2016-03-20 04:09:37.209051', 'CPU:16.2', 'MEMORY:72331 MB']
['DATE:2016-03-20 04:10:38.272810', 'CPU:15.1', 'MEMORY:72312 MB']
['DATE:2016-03-20 04:11:39.336337', 'CPU:17.6', 'MEMORY:72319 MB']
['DATE:2016-03-20 04:12:40.352307', 'CPU:16.6', 'MEMORY:72302 MB']
['DATE:2016-03-20 04:13:41.415944', 'CPU:17.3', 'MEMORY:72316 MB']
['DATE:2016-03-20 04:14:42.449508', 'CPU:16.5', 'MEMORY:72303 MB']
['DATE:2016-03-20 04:15:43.501976', 'CPU:15.4', 'MEMORY:72294 MB']
['DATE:2016-03-20 04:16:44.565468', 'CPU:16.4', 'MEMORY:72317 MB']
['DATE:2016-03-20 04:17:45.628981', 'CPU:16.6', 'MEMORY:72328 MB']
['DATE:2016-03-20 04:18:46.692993', 'CPU:16.7', 'MEMORY:72345 MB']
['DATE:2016-03-20 04:19:47.756087', 'CPU:16.8', 'MEMORY:72345 MB']
['DATE:2016-03-20 04:20:48.819955', 'CPU:16.4', 'MEMORY:72355 MB']
['DATE:2016-03-20 04:21:49.883066', 'CPU:16.6', 'MEMORY:72343 MB']
['DATE:2016-03-20 04:22:50.945487', 'CPU:16.9', 'MEMORY:72352 MB']
['DATE:2016-03-20 04:23:52.008716', 'CPU:20.5', 'MEMORY:72397 MB']
['DATE:2016-03-20 04:24:53.072568', 'CPU:16.7', 'MEMORY:72407 MB']
['DATE:2016-03-20 04:25:54.136152', 'CPU:15.7', 'MEMORY:72448 MB']
['DATE:2016-03-20 04:26:55.200078', 'CPU:16.2', 'MEMORY:72450 MB']
['DATE:2016-03-20 04:27:56.263778', 'CPU:15.9', 'MEMORY:72432 MB']
['DATE:2016-03-20 04:28:57.327879', 'CPU:19.9', 'MEMORY:72455 MB']
['DATE:2016-03-20 04:29:58.391777', 'CPU:16.0', 'MEMORY:72438 MB']
['DATE:2016-03-20 04:30:59.455337', 'CPU:26.3', 'MEMORY:72465 MB']
['DATE:2016-03-20 04:32:00.518680', 'CPU:15.9', 'MEMORY:72448 MB']
['DATE:2016-03-20 04:33:01.579957', 'CPU:16.6', 'MEMORY:72448 MB']
['DATE:2016-03-20 04:34:02.639510', 'CPU:16.7', 'MEMORY:72466 MB']
['DATE:2016-03-20 04:35:03.653138', 'CPU:16.2', 'MEMORY:72465 MB']
['DATE:2016-03-20 04:36:04.715960', 'CPU:29.5', 'MEMORY:72483 MB']
['DATE:2016-03-20 04:37:05.775699', 'CPU:17.3', 'MEMORY:72477 MB']
['DATE:2016-03-20 04:38:06.839914', 'CPU:15.4', 'MEMORY:72483 MB']
['DATE:2016-03-20 04:39:07.900037', 'CPU:16.5', 'MEMORY:72495 MB']
['DATE:2016-03-20 04:40:08.964153', 'CPU:15.6', 'MEMORY:72474 MB']
['DATE:2016-03-20 04:41:10.023596', 'CPU:25.4', 'MEMORY:72493 MB']

['DATE:2016-03-20 04:42:11.086776', 'CPU:1.6', 'MEMORY:70980 MB']
