Running BLAST for 0.015625 

['DATE:2016-03-19 14:06:09.438382', 'CPU:99.9', 'MEMORY:7809 MB']
['DATE:2016-03-19 14:43:48.665851', 'CPU:99.8', 'MEMORY:8805 MB']
['DATE:2016-03-19 14:44:49.725921', 'CPU:99.8', 'MEMORY:8809 MB']
['DATE:2016-03-19 14:45:50.785968', 'CPU:99.8', 'MEMORY:8819 MB']
['DATE:2016-03-19 14:46:51.845957', 'CPU:99.6', 'MEMORY:8821 MB']
['DATE:2016-03-19 14:47:52.906028', 'CPU:99.7', 'MEMORY:8820 MB']
['DATE:2016-03-19 14:48:53.969057', 'CPU:99.8', 'MEMORY:8824 MB']
['DATE:2016-03-19 14:49:55.031027', 'CPU:99.7', 'MEMORY:8833 MB']
['DATE:2016-03-19 14:50:56.091101', 'CPU:99.2', 'MEMORY:8830 MB']
['DATE:2016-03-19 14:51:57.150979', 'CPU:99.8', 'MEMORY:8834 MB']
['DATE:2016-03-19 14:52:58.211140', 'CPU:99.9', 'MEMORY:8843 MB']
['DATE:2016-03-19 14:53:59.271001', 'CPU:99.8', 'MEMORY:8852 MB']
['DATE:2016-03-19 14:55:00.331125', 'CPU:99.8', 'MEMORY:8858 MB']
['DATE:2016-03-19 14:56:01.391111', 'CPU:99.7', 'MEMORY:8878 MB']
['DATE:2016-03-19 14:57:02.451435', 'CPU:99.5', 'MEMORY:8892 MB']
['DATE:2016-03-19 14:58:03.511039', 'CPU:99.8', 'MEMORY:8918 MB']
['DATE:2016-03-19 14:59:04.571186', 'CPU:99.9', 'MEMORY:8881 MB']
['DATE:2016-03-19 15:00:05.631089', 'CPU:99.8', 'MEMORY:8884 MB']
['DATE:2016-03-19 15:01:06.691057', 'CPU:99.8', 'MEMORY:8888 MB']
['DATE:2016-03-19 15:02:07.751101', 'CPU:99.8', 'MEMORY:8889 MB']
['DATE:2016-03-19 15:03:08.811052', 'CPU:99.8', 'MEMORY:8898 MB']
['DATE:2016-03-19 15:04:09.880951', 'CPU:99.5', 'MEMORY:8907 MB']
['DATE:2016-03-19 15:05:10.942997', 'CPU:100.0', 'MEMORY:8884 MB']
['DATE:2016-03-19 15:06:12.002970', 'CPU:99.8', 'MEMORY:9323 MB']
['DATE:2016-03-19 15:07:13.063024', 'CPU:99.9', 'MEMORY:9693 MB']
['DATE:2016-03-19 15:08:14.123143', 'CPU:99.5', 'MEMORY:9834 MB']
['DATE:2016-03-19 15:09:15.182926', 'CPU:99.9', 'MEMORY:9835 MB']
['DATE:2016-03-19 15:10:16.243212', 'CPU:100.0', 'MEMORY:9851 MB']
['DATE:2016-03-19 15:11:17.303044', 'CPU:99.8', 'MEMORY:9844 MB']
['DATE:2016-03-19 15:12:18.363004', 'CPU:99.8', 'MEMORY:9865 MB']
['DATE:2016-03-19 15:13:19.423242', 'CPU:99.7', 'MEMORY:9862 MB']
['DATE:2016-03-19 15:14:20.483560', 'CPU:99.6', 'MEMORY:9893 MB']
['DATE:2016-03-19 15:15:21.543172', 'CPU:99.7', 'MEMORY:9903 MB']
['DATE:2016-03-19 15:16:22.603048', 'CPU:99.8', 'MEMORY:9891 MB']
['DATE:2016-03-19 15:17:23.663094', 'CPU:99.7', 'MEMORY:9886 MB']
['DATE:2016-03-19 15:18:24.723136', 'CPU:99.7', 'MEMORY:10062 MB']
['DATE:2016-03-19 15:19:25.783008', 'CPU:99.5', 'MEMORY:10311 MB']
['DATE:2016-03-19 15:20:26.843070', 'CPU:99.8', 'MEMORY:10472 MB']
['DATE:2016-03-19 15:21:27.903028', 'CPU:99.6', 'MEMORY:10507 MB']
['DATE:2016-03-19 15:22:28.963116', 'CPU:99.4', 'MEMORY:10484 MB']
['DATE:2016-03-19 15:23:30.023150', 'CPU:99.6', 'MEMORY:10497 MB']
['DATE:2016-03-19 15:24:31.083119', 'CPU:99.6', 'MEMORY:10511 MB']
['DATE:2016-03-19 15:25:32.143104', 'CPU:99.7', 'MEMORY:10510 MB']
['DATE:2016-03-19 15:26:33.203286', 'CPU:99.7', 'MEMORY:10514 MB']
['DATE:2016-03-19 15:27:34.263154', 'CPU:99.3', 'MEMORY:10497 MB']
['DATE:2016-03-19 15:28:35.323151', 'CPU:99.5', 'MEMORY:10511 MB']
['DATE:2016-03-19 15:29:36.383152', 'CPU:99.7', 'MEMORY:10473 MB']
['DATE:2016-03-19 15:30:37.443101', 'CPU:99.8', 'MEMORY:10450 MB']
['DATE:2016-03-19 15:31:38.503048', 'CPU:99.8', 'MEMORY:10432 MB']
['DATE:2016-03-19 15:32:39.563031', 'CPU:99.7', 'MEMORY:10442 MB']
['DATE:2016-03-19 15:33:40.623057', 'CPU:99.7', 'MEMORY:10461 MB']
['DATE:2016-03-19 15:34:41.682913', 'CPU:99.7', 'MEMORY:10431 MB']
['DATE:2016-03-19 15:35:42.743431', 'CPU:99.7', 'MEMORY:10175 MB']
['DATE:2016-03-19 15:36:43.802896', 'CPU:99.7', 'MEMORY:10148 MB']
['DATE:2016-03-19 15:37:44.862997', 'CPU:99.8', 'MEMORY:10174 MB']
['DATE:2016-03-19 15:38:45.922982', 'CPU:99.9', 'MEMORY:10171 MB']
['DATE:2016-03-19 15:39:46.983115', 'CPU:99.6', 'MEMORY:10129 MB']
['DATE:2016-03-19 15:40:48.043190', 'CPU:99.8', 'MEMORY:10144 MB']
['DATE:2016-03-19 15:41:49.103059', 'CPU:99.6', 'MEMORY:10153 MB']
['DATE:2016-03-19 15:42:50.163089', 'CPU:99.6', 'MEMORY:10201 MB']
['DATE:2016-03-19 15:43:51.223498', 'CPU:99.7', 'MEMORY:10104 MB']
['DATE:2016-03-19 15:44:52.283066', 'CPU:99.5', 'MEMORY:10141 MB']
['DATE:2016-03-19 15:45:53.343074', 'CPU:99.7', 'MEMORY:10155 MB']
['DATE:2016-03-19 15:46:54.403060', 'CPU:99.4', 'MEMORY:10162 MB']
['DATE:2016-03-19 15:47:55.463156', 'CPU:99.7', 'MEMORY:10175 MB']
['DATE:2016-03-19 15:48:56.522998', 'CPU:99.8', 'MEMORY:10179 MB']
['DATE:2016-03-19 15:49:57.582984', 'CPU:99.7', 'MEMORY:10147 MB']
['DATE:2016-03-19 15:50:58.642977', 'CPU:99.8', 'MEMORY:10170 MB']
['DATE:2016-03-19 15:51:59.703322', 'CPU:99.8', 'MEMORY:10167 MB']
['DATE:2016-03-19 15:53:00.762972', 'CPU:99.8', 'MEMORY:10175 MB']
['DATE:2016-03-19 15:54:01.823113', 'CPU:99.3', 'MEMORY:10137 MB']
['DATE:2016-03-19 15:55:02.882940', 'CPU:99.8', 'MEMORY:10189 MB']
['DATE:2016-03-19 15:56:03.945041', 'CPU:99.7', 'MEMORY:10133 MB']
['DATE:2016-03-19 15:57:05.011191', 'CPU:99.8', 'MEMORY:10154 MB']
['DATE:2016-03-19 15:58:06.071100', 'CPU:99.8', 'MEMORY:10194 MB']
['DATE:2016-03-19 15:59:07.134760', 'CPU:99.7', 'MEMORY:10174 MB']
['DATE:2016-03-19 16:00:08.195077', 'CPU:99.8', 'MEMORY:10186 MB']
['DATE:2016-03-19 16:01:09.255381', 'CPU:99.8', 'MEMORY:10180 MB']
['DATE:2016-03-19 16:02:10.315053', 'CPU:99.7', 'MEMORY:10167 MB']
['DATE:2016-03-19 16:03:11.375013', 'CPU:99.7', 'MEMORY:10138 MB']
['DATE:2016-03-19 16:04:12.435103', 'CPU:99.8', 'MEMORY:10188 MB']
['DATE:2016-03-19 16:05:13.496063', 'CPU:99.7', 'MEMORY:10171 MB']
['DATE:2016-03-19 16:06:14.559050', 'CPU:99.8', 'MEMORY:10187 MB']
['DATE:2016-03-19 16:07:15.626973', 'CPU:99.7', 'MEMORY:10208 MB']
['DATE:2016-03-19 16:08:16.687007', 'CPU:99.7', 'MEMORY:10229 MB']
['DATE:2016-03-19 16:09:17.751650', 'CPU:99.8', 'MEMORY:10250 MB']
['DATE:2016-03-19 16:10:18.813987', 'CPU:99.7', 'MEMORY:10175 MB']
['DATE:2016-03-19 16:11:19.873681', 'CPU:99.8', 'MEMORY:10199 MB']
['DATE:2016-03-19 16:12:20.934302', 'CPU:99.8', 'MEMORY:10185 MB']
['DATE:2016-03-19 16:13:21.997539', 'CPU:99.7', 'MEMORY:10192 MB']
['DATE:2016-03-19 16:14:23.058263', 'CPU:99.8', 'MEMORY:10221 MB']
['DATE:2016-03-19 16:15:24.118731', 'CPU:99.8', 'MEMORY:10237 MB']
['DATE:2016-03-19 16:16:25.178183', 'CPU:99.9', 'MEMORY:10245 MB']
['DATE:2016-03-19 16:17:26.238298', 'CPU:99.6', 'MEMORY:10257 MB']
['DATE:2016-03-19 16:18:27.298318', 'CPU:99.6', 'MEMORY:10193 MB']
['DATE:2016-03-19 16:19:28.359031', 'CPU:99.8', 'MEMORY:10178 MB']
['DATE:2016-03-19 16:20:29.422360', 'CPU:99.8', 'MEMORY:10196 MB']
['DATE:2016-03-19 16:21:30.482280', 'CPU:99.7', 'MEMORY:10217 MB']
['DATE:2016-03-19 16:22:31.542789', 'CPU:99.8', 'MEMORY:10207 MB']
['DATE:2016-03-19 16:23:32.602396', 'CPU:99.8', 'MEMORY:10178 MB']
['DATE:2016-03-19 16:24:33.662281', 'CPU:99.6', 'MEMORY:10206 MB']
['DATE:2016-03-19 16:25:34.722612', 'CPU:99.7', 'MEMORY:10213 MB']
['DATE:2016-03-19 16:26:35.783557', 'CPU:99.7', 'MEMORY:10216 MB']
['DATE:2016-03-19 16:27:36.846458', 'CPU:99.7', 'MEMORY:10251 MB']
['DATE:2016-03-19 16:28:37.906281', 'CPU:99.8', 'MEMORY:10174 MB']
['DATE:2016-03-19 16:29:38.966481', 'CPU:99.7', 'MEMORY:10211 MB']
['DATE:2016-03-19 16:30:40.026435', 'CPU:99.8', 'MEMORY:10235 MB']
['DATE:2016-03-19 16:31:41.086502', 'CPU:99.6', 'MEMORY:10219 MB']
['DATE:2016-03-19 16:32:42.146444', 'CPU:99.8', 'MEMORY:10225 MB']
['DATE:2016-03-19 16:33:43.206361', 'CPU:99.6', 'MEMORY:10209 MB']
['DATE:2016-03-19 16:34:44.266599', 'CPU:99.5', 'MEMORY:10185 MB']
['DATE:2016-03-19 16:35:45.334271', 'CPU:99.8', 'MEMORY:10201 MB']
['DATE:2016-03-19 16:36:46.394260', 'CPU:99.7', 'MEMORY:10212 MB']
['DATE:2016-03-19 16:37:47.454632', 'CPU:99.5', 'MEMORY:10238 MB']
['DATE:2016-03-19 16:38:48.518058', 'CPU:99.8', 'MEMORY:10211 MB']
['DATE:2016-03-19 16:39:49.578448', 'CPU:99.7', 'MEMORY:10183 MB']
['DATE:2016-03-19 16:40:50.638356', 'CPU:99.7', 'MEMORY:10183 MB']
['DATE:2016-03-19 16:41:51.699251', 'CPU:99.8', 'MEMORY:10195 MB']
['DATE:2016-03-19 16:42:52.761261', 'CPU:99.8', 'MEMORY:10206 MB']
['DATE:2016-03-19 16:43:53.821164', 'CPU:99.7', 'MEMORY:10188 MB']
['DATE:2016-03-19 16:44:54.881676', 'CPU:99.6', 'MEMORY:10181 MB']
['DATE:2016-03-19 16:45:55.941057', 'CPU:99.6', 'MEMORY:10163 MB']
['DATE:2016-03-19 16:46:57.001015', 'CPU:99.7', 'MEMORY:10193 MB']
['DATE:2016-03-19 16:47:58.061162', 'CPU:99.7', 'MEMORY:10170 MB']
['DATE:2016-03-19 16:48:59.121080', 'CPU:99.8', 'MEMORY:10197 MB']
['DATE:2016-03-19 16:50:00.181150', 'CPU:99.7', 'MEMORY:10208 MB']
['DATE:2016-03-19 16:51:01.241013', 'CPU:99.7', 'MEMORY:10187 MB']
['DATE:2016-03-19 16:52:02.303591', 'CPU:99.8', 'MEMORY:10199 MB']
['DATE:2016-03-19 16:53:03.365047', 'CPU:99.8', 'MEMORY:10178 MB']
['DATE:2016-03-19 16:54:04.425145', 'CPU:99.8', 'MEMORY:10189 MB']
['DATE:2016-03-19 16:55:05.485047', 'CPU:99.7', 'MEMORY:10224 MB']
['DATE:2016-03-19 16:56:06.545088', 'CPU:99.8', 'MEMORY:10218 MB']
['DATE:2016-03-19 16:57:07.605225', 'CPU:99.8', 'MEMORY:10221 MB']
['DATE:2016-03-19 16:58:08.665163', 'CPU:99.7', 'MEMORY:10274 MB']
['DATE:2016-03-19 16:59:09.725196', 'CPU:99.7', 'MEMORY:10181 MB']
['DATE:2016-03-19 17:00:10.785045', 'CPU:99.5', 'MEMORY:10187 MB']
['DATE:2016-03-19 17:01:11.845125', 'CPU:99.7', 'MEMORY:10202 MB']
['DATE:2016-03-19 17:02:12.906586', 'CPU:99.6', 'MEMORY:10225 MB']
['DATE:2016-03-19 17:03:13.969071', 'CPU:99.8', 'MEMORY:10197 MB']
['DATE:2016-03-19 17:04:15.029085', 'CPU:99.5', 'MEMORY:10214 MB']
['DATE:2016-03-19 17:05:16.089203', 'CPU:99.7', 'MEMORY:10223 MB']
['DATE:2016-03-19 17:06:17.148992', 'CPU:99.8', 'MEMORY:10220 MB']
['DATE:2016-03-19 17:07:18.209442', 'CPU:99.7', 'MEMORY:10242 MB']
['DATE:2016-03-19 17:08:19.269088', 'CPU:99.6', 'MEMORY:10208 MB']
['DATE:2016-03-19 17:09:20.329103', 'CPU:99.7', 'MEMORY:10225 MB']
['DATE:2016-03-19 17:10:21.389365', 'CPU:99.6', 'MEMORY:10224 MB']
['DATE:2016-03-19 17:11:22.449038', 'CPU:99.8', 'MEMORY:10235 MB']
['DATE:2016-03-19 17:12:23.509114', 'CPU:99.7', 'MEMORY:10242 MB']
['DATE:2016-03-19 17:13:24.569185', 'CPU:99.8', 'MEMORY:10251 MB']
['DATE:2016-03-19 17:14:25.629153', 'CPU:99.8', 'MEMORY:10273 MB']
['DATE:2016-03-19 17:15:26.689177', 'CPU:99.6', 'MEMORY:10216 MB']
['DATE:2016-03-19 17:16:27.750162', 'CPU:99.8', 'MEMORY:10281 MB']
['DATE:2016-03-19 17:17:28.813057', 'CPU:99.5', 'MEMORY:10249 MB']
['DATE:2016-03-19 17:18:29.873279', 'CPU:99.7', 'MEMORY:10260 MB']
['DATE:2016-03-19 17:19:30.933111', 'CPU:99.8', 'MEMORY:10270 MB']
['DATE:2016-03-19 17:20:31.993186', 'CPU:99.7', 'MEMORY:10256 MB']
['DATE:2016-03-19 17:21:33.052960', 'CPU:99.8', 'MEMORY:10279 MB']
['DATE:2016-03-19 17:22:34.113639', 'CPU:99.8', 'MEMORY:10281 MB']
['DATE:2016-03-19 17:23:35.173330', 'CPU:99.8', 'MEMORY:10303 MB']
['DATE:2016-03-19 17:24:36.233124', 'CPU:99.9', 'MEMORY:10275 MB']
['DATE:2016-03-19 17:25:37.293353', 'CPU:99.6', 'MEMORY:10248 MB']
['DATE:2016-03-19 17:26:38.353135', 'CPU:99.7', 'MEMORY:10244 MB']
['DATE:2016-03-19 17:27:39.413093', 'CPU:99.5', 'MEMORY:10281 MB']
['DATE:2016-03-19 17:28:40.473205', 'CPU:99.6', 'MEMORY:10308 MB']
['DATE:2016-03-19 17:29:41.533102', 'CPU:99.7', 'MEMORY:10285 MB']
['DATE:2016-03-19 17:30:42.592984', 'CPU:99.8', 'MEMORY:10262 MB']
['DATE:2016-03-19 17:31:43.653033', 'CPU:99.7', 'MEMORY:10301 MB']
['DATE:2016-03-19 17:32:44.713063', 'CPU:99.7', 'MEMORY:10286 MB']
['DATE:2016-03-19 17:33:45.773244', 'CPU:99.8', 'MEMORY:10317 MB']
['DATE:2016-03-19 17:34:46.839075', 'CPU:99.8', 'MEMORY:10275 MB']
['DATE:2016-03-19 17:35:47.901277', 'CPU:99.7', 'MEMORY:10333 MB']
['DATE:2016-03-19 17:36:48.961928', 'CPU:99.8', 'MEMORY:10333 MB']
['DATE:2016-03-19 17:37:50.024995', 'CPU:99.8', 'MEMORY:10344 MB']
['DATE:2016-03-19 17:38:51.085074', 'CPU:99.7', 'MEMORY:10359 MB']
['DATE:2016-03-19 17:39:52.144991', 'CPU:99.5', 'MEMORY:10272 MB']
['DATE:2016-03-19 17:40:53.205159', 'CPU:99.8', 'MEMORY:10333 MB']
['DATE:2016-03-19 17:41:54.266380', 'CPU:99.8', 'MEMORY:10322 MB']
['DATE:2016-03-19 17:42:55.326430', 'CPU:99.8', 'MEMORY:10350 MB']
['DATE:2016-03-19 17:43:56.386369', 'CPU:99.7', 'MEMORY:10340 MB']
['DATE:2016-03-19 17:44:57.446506', 'CPU:99.8', 'MEMORY:10350 MB']
['DATE:2016-03-19 17:45:58.506773', 'CPU:99.8', 'MEMORY:10371 MB']
['DATE:2016-03-19 17:46:59.569430', 'CPU:99.8', 'MEMORY:10337 MB']
['DATE:2016-03-19 17:48:00.629258', 'CPU:99.5', 'MEMORY:10310 MB']
['DATE:2016-03-19 17:49:01.689265', 'CPU:99.7', 'MEMORY:10339 MB']
['DATE:2016-03-19 17:50:02.749107', 'CPU:99.7', 'MEMORY:10329 MB']
['DATE:2016-03-19 17:51:03.811089', 'CPU:99.8', 'MEMORY:10280 MB']
['DATE:2016-03-19 17:52:04.871383', 'CPU:99.7', 'MEMORY:10317 MB']
['DATE:2016-03-19 17:53:05.930954', 'CPU:99.7', 'MEMORY:10315 MB']
['DATE:2016-03-19 17:54:06.991182', 'CPU:99.8', 'MEMORY:10341 MB']
['DATE:2016-03-19 17:55:08.051234', 'CPU:99.8', 'MEMORY:10342 MB']
['DATE:2016-03-19 17:56:09.111214', 'CPU:99.7', 'MEMORY:10302 MB']
['DATE:2016-03-19 17:57:10.171235', 'CPU:99.8', 'MEMORY:10326 MB']
['DATE:2016-03-19 17:58:11.231106', 'CPU:99.7', 'MEMORY:10340 MB']
['DATE:2016-03-19 17:59:12.291080', 'CPU:99.8', 'MEMORY:10317 MB']
['DATE:2016-03-19 18:00:13.351182', 'CPU:99.8', 'MEMORY:10334 MB']
['DATE:2016-03-19 18:01:14.411193', 'CPU:99.8', 'MEMORY:10342 MB']
['DATE:2016-03-19 18:02:15.471247', 'CPU:99.8', 'MEMORY:10358 MB']
['DATE:2016-03-19 18:03:16.534258', 'CPU:99.7', 'MEMORY:10307 MB']
['DATE:2016-03-19 18:04:17.595549', 'CPU:99.7', 'MEMORY:10278 MB']
['DATE:2016-03-19 18:05:18.655157', 'CPU:99.7', 'MEMORY:10299 MB']
['DATE:2016-03-19 18:06:19.715241', 'CPU:99.8', 'MEMORY:10322 MB']
['DATE:2016-03-19 18:07:20.775136', 'CPU:99.7', 'MEMORY:10315 MB']
['DATE:2016-03-19 18:08:21.839080', 'CPU:99.7', 'MEMORY:10309 MB']
['DATE:2016-03-19 18:09:22.899037', 'CPU:99.8', 'MEMORY:10313 MB']
['DATE:2016-03-19 18:10:23.959112', 'CPU:99.7', 'MEMORY:10325 MB']
['DATE:2016-03-19 18:11:25.019158', 'CPU:99.8', 'MEMORY:10347 MB']
['DATE:2016-03-19 18:12:26.079489', 'CPU:99.8', 'MEMORY:10264 MB']
['DATE:2016-03-19 18:13:27.139228', 'CPU:99.7', 'MEMORY:10297 MB']
['DATE:2016-03-19 18:14:28.199241', 'CPU:99.7', 'MEMORY:10291 MB']
['DATE:2016-03-19 18:15:29.259321', 'CPU:99.9', 'MEMORY:10320 MB']
['DATE:2016-03-19 18:16:30.319239', 'CPU:99.8', 'MEMORY:10336 MB']
['DATE:2016-03-19 18:17:31.385075', 'CPU:99.8', 'MEMORY:10338 MB']
['DATE:2016-03-19 18:18:32.447195', 'CPU:99.9', 'MEMORY:10346 MB']
['DATE:2016-03-19 18:19:33.507144', 'CPU:99.7', 'MEMORY:10355 MB']
['DATE:2016-03-19 18:20:34.567016', 'CPU:99.7', 'MEMORY:10298 MB']
['DATE:2016-03-19 18:21:35.627096', 'CPU:99.5', 'MEMORY:10310 MB']
['DATE:2016-03-19 18:22:36.687179', 'CPU:99.7', 'MEMORY:10330 MB']
['DATE:2016-03-19 18:23:37.747163', 'CPU:99.9', 'MEMORY:10358 MB']
['DATE:2016-03-19 18:24:38.807123', 'CPU:99.8', 'MEMORY:10350 MB']
['DATE:2016-03-19 18:25:39.867436', 'CPU:99.8', 'MEMORY:10366 MB']
['DATE:2016-03-19 18:26:40.927079', 'CPU:99.6', 'MEMORY:10368 MB']
['DATE:2016-03-19 18:27:41.987221', 'CPU:99.8', 'MEMORY:10303 MB']
['DATE:2016-03-19 18:28:43.047213', 'CPU:99.7', 'MEMORY:10356 MB']
['DATE:2016-03-19 18:29:44.107363', 'CPU:99.7', 'MEMORY:10375 MB']
['DATE:2016-03-19 18:30:45.167126', 'CPU:99.9', 'MEMORY:10378 MB']
['DATE:2016-03-19 18:31:46.227155', 'CPU:99.7', 'MEMORY:10358 MB']
['DATE:2016-03-19 18:32:47.287141', 'CPU:99.6', 'MEMORY:10349 MB']
['DATE:2016-03-19 18:33:48.349007', 'CPU:99.7', 'MEMORY:10352 MB']
['DATE:2016-03-19 18:34:49.412239', 'CPU:99.9', 'MEMORY:10315 MB']
['DATE:2016-03-19 18:35:50.475118', 'CPU:99.5', 'MEMORY:10339 MB']
['DATE:2016-03-19 18:36:51.535178', 'CPU:99.7', 'MEMORY:10347 MB']
['DATE:2016-03-19 18:37:52.595206', 'CPU:99.6', 'MEMORY:10361 MB']
['DATE:2016-03-19 18:38:53.655022', 'CPU:99.8', 'MEMORY:10316 MB']
['DATE:2016-03-19 18:39:54.715194', 'CPU:99.6', 'MEMORY:10336 MB']
['DATE:2016-03-19 18:40:55.775110', 'CPU:99.7', 'MEMORY:10316 MB']
['DATE:2016-03-19 18:41:56.835070', 'CPU:99.7', 'MEMORY:10327 MB']
['DATE:2016-03-19 18:42:57.895319', 'CPU:99.7', 'MEMORY:10319 MB']
['DATE:2016-03-19 18:43:58.955066', 'CPU:99.7', 'MEMORY:10338 MB']
['DATE:2016-03-19 18:45:00.015081', 'CPU:99.8', 'MEMORY:10356 MB']
['DATE:2016-03-19 18:46:01.075078', 'CPU:99.8', 'MEMORY:10359 MB']
['DATE:2016-03-19 18:47:02.137512', 'CPU:99.8', 'MEMORY:10346 MB']
['DATE:2016-03-19 18:48:03.199258', 'CPU:99.7', 'MEMORY:10325 MB']
['DATE:2016-03-19 18:49:04.259258', 'CPU:99.8', 'MEMORY:10330 MB']
['DATE:2016-03-19 18:50:05.319142', 'CPU:99.9', 'MEMORY:9380 MB']
['DATE:2016-03-19 18:51:06.379229', 'CPU:99.7', 'MEMORY:9373 MB']
['DATE:2016-03-19 18:52:07.439260', 'CPU:99.9', 'MEMORY:9370 MB']
['DATE:2016-03-19 18:53:08.499096', 'CPU:99.9', 'MEMORY:9384 MB']
['DATE:2016-03-19 18:54:09.559646', 'CPU:99.7', 'MEMORY:9402 MB']
['DATE:2016-03-19 18:55:10.619126', 'CPU:99.8', 'MEMORY:9400 MB']
['DATE:2016-03-19 18:56:11.679206', 'CPU:99.8', 'MEMORY:9403 MB']
['DATE:2016-03-19 18:57:12.739110', 'CPU:99.8', 'MEMORY:9410 MB']
['DATE:2016-03-19 18:58:13.799160', 'CPU:99.8', 'MEMORY:9436 MB']
['DATE:2016-03-19 18:59:14.859215', 'CPU:99.7', 'MEMORY:9418 MB']
['DATE:2016-03-19 19:00:15.919247', 'CPU:99.7', 'MEMORY:9471 MB']
['DATE:2016-03-19 19:01:16.979063', 'CPU:99.8', 'MEMORY:9481 MB']
['DATE:2016-03-19 19:02:18.039486', 'CPU:99.7', 'MEMORY:9453 MB']
['DATE:2016-03-19 19:03:19.099543', 'CPU:99.7', 'MEMORY:9427 MB']
['DATE:2016-03-19 19:04:20.159529', 'CPU:99.5', 'MEMORY:9398 MB']
['DATE:2016-03-19 19:05:21.219362', 'CPU:99.9', 'MEMORY:9400 MB']
['DATE:2016-03-19 19:06:22.279209', 'CPU:99.8', 'MEMORY:9410 MB']
['DATE:2016-03-19 19:07:23.339552', 'CPU:99.7', 'MEMORY:9414 MB']
['DATE:2016-03-19 19:08:24.399528', 'CPU:99.5', 'MEMORY:9419 MB']
['DATE:2016-03-19 19:09:25.459173', 'CPU:99.8', 'MEMORY:9381 MB']
['DATE:2016-03-19 19:10:26.519381', 'CPU:99.8', 'MEMORY:9384 MB']
['DATE:2016-03-19 19:11:27.579095', 'CPU:99.7', 'MEMORY:9387 MB']
['DATE:2016-03-19 19:12:28.639127', 'CPU:99.7', 'MEMORY:9438 MB']
