Running BLAST for 0.015625 

['DATE:2016-03-20 02:37:21.017535', 'CPU:21.5', 'MEMORY:12478 MB']
['DATE:2016-03-20 03:19:04.553804', 'CPU:16.9', 'MEMORY:13776 MB']
['DATE:2016-03-20 03:20:05.618034', 'CPU:17.4', 'MEMORY:13794 MB']
['DATE:2016-03-20 03:21:06.682104', 'CPU:15.9', 'MEMORY:13838 MB']
['DATE:2016-03-20 03:22:07.745618', 'CPU:18.8', 'MEMORY:13858 MB']
['DATE:2016-03-20 03:23:08.809219', 'CPU:17.0', 'MEMORY:13866 MB']
['DATE:2016-03-20 03:24:09.873634', 'CPU:18.2', 'MEMORY:13869 MB']
['DATE:2016-03-20 03:25:10.933943', 'CPU:16.0', 'MEMORY:13892 MB']
['DATE:2016-03-20 03:26:11.997946', 'CPU:16.6', 'MEMORY:13878 MB']
['DATE:2016-03-20 03:27:13.062016', 'CPU:16.1', 'MEMORY:13921 MB']
['DATE:2016-03-20 03:28:14.125605', 'CPU:17.0', 'MEMORY:13950 MB']
['DATE:2016-03-20 03:29:15.189322', 'CPU:17.4', 'MEMORY:13940 MB']
['DATE:2016-03-20 03:30:16.252942', 'CPU:16.7', 'MEMORY:13944 MB']
['DATE:2016-03-20 03:31:17.317150', 'CPU:20.7', 'MEMORY:13966 MB']
['DATE:2016-03-20 03:32:18.381252', 'CPU:15.6', 'MEMORY:13927 MB']
['DATE:2016-03-20 03:33:19.444832', 'CPU:16.7', 'MEMORY:13936 MB']
['DATE:2016-03-20 03:34:20.508825', 'CPU:14.3', 'MEMORY:13972 MB']
['DATE:2016-03-20 03:35:21.572827', 'CPU:14.8', 'MEMORY:13980 MB']
['DATE:2016-03-20 03:36:22.636930', 'CPU:6.4', 'MEMORY:14012 MB']
['DATE:2016-03-20 03:37:23.701067', 'CPU:15.6', 'MEMORY:14010 MB']
['DATE:2016-03-20 03:38:24.764764', 'CPU:16.9', 'MEMORY:14010 MB']
['DATE:2016-03-20 03:39:25.825720', 'CPU:17.6', 'MEMORY:14009 MB']
['DATE:2016-03-20 03:40:26.846340', 'CPU:21.3', 'MEMORY:14034 MB']
['DATE:2016-03-20 03:41:27.909788', 'CPU:16.9', 'MEMORY:14055 MB']
['DATE:2016-03-20 03:42:28.973495', 'CPU:17.2', 'MEMORY:14060 MB']
['DATE:2016-03-20 03:43:30.037582', 'CPU:16.2', 'MEMORY:14081 MB']
['DATE:2016-03-20 03:44:31.100756', 'CPU:22.6', 'MEMORY:14114 MB']
['DATE:2016-03-20 03:45:32.164899', 'CPU:15.6', 'MEMORY:14152 MB']
['DATE:2016-03-20 03:46:33.229206', 'CPU:19.7', 'MEMORY:14173 MB']
['DATE:2016-03-20 03:47:34.232579', 'CPU:16.4', 'MEMORY:14163 MB']
['DATE:2016-03-20 03:48:35.296221', 'CPU:2.8', 'MEMORY:14141 MB']
['DATE:2016-03-20 03:49:36.359382', 'CPU:17.0', 'MEMORY:14161 MB']
['DATE:2016-03-20 03:50:37.423326', 'CPU:21.5', 'MEMORY:14179 MB']
['DATE:2016-03-20 03:51:38.487371', 'CPU:16.1', 'MEMORY:14186 MB']
['DATE:2016-03-20 03:52:39.550481', 'CPU:23.7', 'MEMORY:14203 MB']
['DATE:2016-03-20 03:53:40.614747', 'CPU:18.1', 'MEMORY:14198 MB']
['DATE:2016-03-20 03:54:41.678932', 'CPU:19.3', 'MEMORY:14210 MB']
['DATE:2016-03-20 03:55:42.741839', 'CPU:15.3', 'MEMORY:14200 MB']
['DATE:2016-03-20 03:56:43.805512', 'CPU:21.1', 'MEMORY:14216 MB']
['DATE:2016-03-20 03:57:44.869536', 'CPU:18.5', 'MEMORY:14175 MB']
['DATE:2016-03-20 03:58:45.933367', 'CPU:26.1', 'MEMORY:14190 MB']
['DATE:2016-03-20 03:59:46.997668', 'CPU:16.6', 'MEMORY:14199 MB']
['DATE:2016-03-20 04:00:48.061750', 'CPU:18.5', 'MEMORY:14213 MB']
['DATE:2016-03-20 04:01:49.125390', 'CPU:17.5', 'MEMORY:14159 MB']
['DATE:2016-03-20 04:02:50.189544', 'CPU:18.1', 'MEMORY:14168 MB']
['DATE:2016-03-20 04:03:51.253567', 'CPU:15.9', 'MEMORY:14391 MB']
['DATE:2016-03-20 04:04:52.312948', 'CPU:27.6', 'MEMORY:14426 MB']
['DATE:2016-03-20 04:05:53.375911', 'CPU:17.1', 'MEMORY:14386 MB']
['DATE:2016-03-20 04:06:54.439593', 'CPU:22.2', 'MEMORY:14410 MB']
['DATE:2016-03-20 04:07:55.503150', 'CPU:17.4', 'MEMORY:14446 MB']
['DATE:2016-03-20 04:08:56.566285', 'CPU:22.0', 'MEMORY:14470 MB']
['DATE:2016-03-20 04:09:57.629613', 'CPU:17.1', 'MEMORY:14455 MB']
['DATE:2016-03-20 04:10:58.693652', 'CPU:16.9', 'MEMORY:14468 MB']
['DATE:2016-03-20 04:11:59.753312', 'CPU:17.6', 'MEMORY:14459 MB']
['DATE:2016-03-20 04:13:00.816813', 'CPU:17.7', 'MEMORY:14464 MB']
['DATE:2016-03-20 04:14:01.837395', 'CPU:16.3', 'MEMORY:14390 MB']
['DATE:2016-03-20 04:15:02.900200', 'CPU:20.6', 'MEMORY:14416 MB']
['DATE:2016-03-20 04:16:03.926413', 'CPU:17.0', 'MEMORY:14445 MB']
['DATE:2016-03-20 04:17:04.989951', 'CPU:18.0', 'MEMORY:14462 MB']
['DATE:2016-03-20 04:18:06.054227', 'CPU:17.7', 'MEMORY:14478 MB']
['DATE:2016-03-20 04:19:07.118310', 'CPU:19.8', 'MEMORY:14491 MB']
['DATE:2016-03-20 04:20:08.182411', 'CPU:18.0', 'MEMORY:14488 MB']
['DATE:2016-03-20 04:21:09.245568', 'CPU:19.4', 'MEMORY:14505 MB']
['DATE:2016-03-20 04:22:10.305856', 'CPU:17.3', 'MEMORY:14493 MB']
['DATE:2016-03-20 04:23:11.369380', 'CPU:18.1', 'MEMORY:14507 MB']
['DATE:2016-03-20 04:24:12.433402', 'CPU:17.1', 'MEMORY:14522 MB']
['DATE:2016-03-20 04:25:13.497527', 'CPU:18.6', 'MEMORY:14553 MB']
['DATE:2016-03-20 04:26:14.560645', 'CPU:19.7', 'MEMORY:14540 MB']
['DATE:2016-03-20 04:27:15.624637', 'CPU:19.3', 'MEMORY:14546 MB']
['DATE:2016-03-20 04:28:16.685413', 'CPU:17.5', 'MEMORY:14584 MB']
['DATE:2016-03-20 04:29:17.745404', 'CPU:17.7', 'MEMORY:14571 MB']
['DATE:2016-03-20 04:30:18.805731', 'CPU:17.1', 'MEMORY:14520 MB']
['DATE:2016-03-20 04:31:19.869380', 'CPU:17.2', 'MEMORY:14528 MB']
['DATE:2016-03-20 04:32:20.932298', 'CPU:1.3', 'MEMORY:14452 MB']
['DATE:2016-03-20 04:33:21.996301', 'CPU:16.9', 'MEMORY:14597 MB']
['DATE:2016-03-20 04:34:23.058045', 'CPU:17.5', 'MEMORY:14613 MB']
['DATE:2016-03-20 04:35:24.122159', 'CPU:17.8', 'MEMORY:14612 MB']
['DATE:2016-03-20 04:36:25.186215', 'CPU:16.3', 'MEMORY:14561 MB']
['DATE:2016-03-20 04:37:26.250376', 'CPU:17.2', 'MEMORY:14567 MB']
['DATE:2016-03-20 04:38:27.313461', 'CPU:17.1', 'MEMORY:14576 MB']
['DATE:2016-03-20 04:39:28.377590', 'CPU:19.5', 'MEMORY:14594 MB']
['DATE:2016-03-20 04:40:29.441638', 'CPU:17.9', 'MEMORY:14586 MB']
['DATE:2016-03-20 04:41:30.505705', 'CPU:26.2', 'MEMORY:14608 MB']
['DATE:2016-03-20 04:42:31.569328', 'CPU:17.1', 'MEMORY:14603 MB']
['DATE:2016-03-20 04:43:32.629284', 'CPU:17.7', 'MEMORY:14599 MB']
['DATE:2016-03-20 04:44:33.693509', 'CPU:16.7', 'MEMORY:14605 MB']
['DATE:2016-03-20 04:45:34.757525', 'CPU:16.4', 'MEMORY:14620 MB']
['DATE:2016-03-20 04:46:35.821264', 'CPU:17.2', 'MEMORY:14639 MB']

['DATE:2016-03-20 04:47:36.885198', 'CPU:0.0', 'MEMORY:11881 MB']
